,Book Number,Number of Users
0,1,30588
1,4,3006
2,13,905
3,10,1275
4,1985,1
5,167,37
6,2,7898
7,5,3520
8,6,2252
9,26,887
10,3,4071
11,60,10078
12,11,1149
13,22,1453
14,25,950
15,20,2390
16,65,164
17,8,1539
18,14,899
19,18,779
20,7,1738
21,23,1215
22,115,66
23,12,1041
24,166,29
25,84,127
26,9,1316
27,29,649
28,89,110
29,202,27
30,67,192
31,68,174
32,61,225
33,21,1914
34,842,1
35,15,841
36,19,1091
37,150,53
38,30,627
39,99,102
40,116,64
41,24,1097
42,194,26
43,28,701
44,16,801
45,171,33
46,17,803
47,78,139
48,153,34
49,146,48
50,352,12
51,114,66
52,27,761
53,95,98
54,134,46
55,62,204
56,118,68
57,102,87
58,227,21
59,72,140
60,168,28
61,923,1
62,91,119
63,71,157
64,75,146
65,143,47
66,340,6
67,158,38
68,719,3
69,81,154
70,313,8
71,66,181
72,70,143
73,357,12
74,2469,1
75,113,68
76,119,74
77,495,6
78,73,136
79,111,90
80,174,17
81,212,17
82,236,8
83,63,174
84,132,43
85,94,83
86,93,89
87,90,102
88,271,10
89,86,111
90,147,34
91,206,28
92,255,10
93,64,168
94,144,48
95,222,17
96,109,86
97,148,31
98,179,21
99,347,6
100,159,38
101,176,30
102,135,59
103,85,118
104,108,70
105,92,126
106,79,122
107,392,3
108,199,25
109,370,3
110,287,14
111,141,53
112,344,9
113,110,72
114,105,78
115,83,120
116,103,74
117,137,50
118,160,37
119,76,148
120,272,14
121,133,53
122,96,88
123,74,156
124,305,8
125,274,9
126,164,34
127,69,138
128,217,24
129,88,105
130,189,28
131,138,60
132,184,37
133,156,35
134,187,32
135,173,28
136,182,21
137,205,15
138,87,101
139,252,9
140,127,51
141,355,7
142,267,12
143,101,72
144,100,75
145,235,27
146,734,4
147,239,16
148,140,57
149,244,12
150,112,52
151,97,92
152,426,4
153,129,51
154,123,67
155,1370,1
156,175,26
157,121,60
158,395,4
159,438,9
160,214,15
161,562,5
162,145,36
163,216,23
164,98,89
165,104,67
166,107,68
167,106,80
168,128,49
169,1059,1
170,190,22
171,494,6
172,991,1
173,253,14
174,77,160
175,226,23
176,228,12
177,263,22
178,436,4
179,195,25
180,325,8
181,308,10
182,80,145
183,931,1
184,169,34
185,264,20
186,558,4
187,248,13
188,170,27
189,372,4
190,177,23
191,172,34
192,301,8
193,506,2
194,186,29
195,2156,1
196,192,24
197,713,2
198,198,26
199,130,43
200,230,21
201,193,24
202,1453,1
203,219,22
204,122,59
205,149,33
206,131,65
207,120,71
208,241,9
209,142,49
210,229,18
211,210,21
212,459,5
213,165,50
214,561,3
215,312,12
216,185,25
217,336,9
218,136,40
219,330,7
220,221,20
221,233,22
222,220,21
223,234,16
224,151,46
225,368,7
226,197,40
227,350,5
228,124,48
229,848,2
230,351,4
231,240,14
232,204,20
233,661,3
234,467,3
235,389,9
236,125,60
237,455,1
238,277,11
239,505,2
240,162,26
241,181,28
242,237,12
243,599,1
244,245,15
245,209,22
246,257,5
247,1839,1
248,242,17
249,400,5
250,527,4
251,211,14
252,388,7
253,225,16
254,346,12
255,213,10
256,565,1
257,82,111
258,180,30
259,117,70
260,485,8
261,266,7
262,196,16
263,890,2
264,385,11
265,188,38
266,433,4
267,516,2
268,654,3
269,882,1
270,215,17
271,356,9
272,126,60
273,1222,1
274,191,25
275,348,8
276,365,5
277,163,24
278,434,2
279,262,19
280,437,4
281,608,2
282,2299,1
283,157,39
284,223,19
285,1332,4
286,1953,1
287,300,7
288,383,8
289,155,45
290,499,3
291,207,22
292,575,2
293,353,5
294,836,2
295,441,9
296,529,3
297,381,3
298,278,10
299,183,28
300,279,8
301,276,8
302,178,33
303,249,13
304,618,4
305,326,11
306,247,13
307,260,11
308,589,5
309,925,1
310,161,22
311,413,4
312,258,18
313,311,7
314,862,2
315,224,22
316,2208,1
317,152,35
318,450,7
319,334,5
320,512,5
321,768,1
322,533,2
323,816,1
324,231,16
325,1401,1
326,139,34
327,1012,2
328,700,1
329,303,15
330,757,1
331,375,6
332,304,7
333,154,43
334,342,4
335,979,1
336,412,3
337,2530,1
338,297,6
339,317,10
340,306,12
341,282,9
342,319,3
343,574,1
344,407,5
345,1220,1
346,621,1
347,302,10
348,269,7
349,812,1
350,328,5
351,473,2
352,451,5
353,1023,1
354,690,5
355,881,1
356,268,14
357,522,1
358,559,3
359,403,2
360,779,1
361,696,1
362,524,1
363,492,2
364,309,10
365,885,1
366,411,5
367,502,3
368,265,19
369,318,5
370,270,9
371,285,11
372,564,2
373,367,6
374,322,4
375,243,24
376,907,1
377,294,8
378,371,4
379,517,2
380,1116,1
381,386,6
382,445,2
383,256,9
384,427,5
385,338,6
386,232,12
387,509,1
388,316,10
389,314,3
390,432,7
391,398,7
392,307,7
393,283,5
394,536,3
395,474,5
396,1094,1
397,747,1
398,648,1
399,261,12
400,591,3
401,488,2
402,384,4
403,259,14
404,1195,1
405,676,2
406,430,6
407,581,4
408,1567,1
409,1044,1
410,251,16
411,442,1
412,679,2
413,553,3
414,539,2
415,250,12
416,619,2
417,740,3
418,1407,1
419,626,1
420,254,14
421,945,1
422,630,3
423,369,5
424,1331,1
425,556,3
426,508,5
427,680,1
428,295,7
429,540,7
430,1209,1
431,1103,1
432,452,2
433,401,7
434,200,32
435,550,2
436,744,4
437,15129,1
438,341,10
439,755,1
440,655,3
441,457,6
442,280,14
443,382,3
444,753,2
445,698,4
446,275,12
447,393,3
448,337,2
449,349,11
450,218,21
451,688,2
452,818,1
453,379,3
454,447,1
455,1358,1
456,825,1
457,343,6
458,290,9
459,486,2
460,449,4
461,569,1
462,1099,1
463,397,2
464,776,1
465,510,2
466,324,9
467,1054,1
468,1460,1
469,685,1
470,246,12
471,418,4
472,201,15
473,612,2
474,377,1
475,487,3
476,291,4
477,208,24
478,286,8
479,867,1
480,997,1
481,299,10
482,394,2
483,496,5
484,478,4
485,415,5
486,470,4
487,570,3
488,595,1
489,284,8
490,387,2
491,910,1
492,289,9
493,466,3
494,1039,1
495,594,1
496,1028,1
497,296,4
498,933,2
499,288,7
500,1083,1
501,321,12
502,490,2
503,402,3
504,420,1
505,281,7
506,361,12
507,593,3
508,329,12
509,358,7
510,479,2
511,399,6
512,476,1
513,410,2
514,814,1
515,390,5
516,483,6
517,949,2
518,794,2
519,537,2
520,362,4
521,1156,1
522,1261,1
523,359,5
524,431,2
525,686,3
526,364,2
527,391,8
528,823,1
529,203,14
530,546,4
531,749,3
532,800,1
533,961,1
534,500,2
535,764,1
536,298,7
537,656,2
538,2085,1
539,482,3
540,578,1
541,238,10
542,408,6
543,695,2
544,1578,1
545,315,7
546,617,2
547,1221,1
548,759,3
549,785,1
550,405,3
551,672,1
552,659,1
553,480,3
554,1389,1
555,673,2
556,406,1
557,547,2
558,541,2
559,439,4
560,597,1
561,607,2
562,360,4
563,1154,1
564,293,7
565,2610,1
566,443,5
567,484,1
568,1175,1
569,497,2
570,468,1
571,489,3
572,327,10
573,620,1
574,914,1
575,1066,1
576,603,3
577,292,5
578,872,1
579,1701,1
580,528,3
581,573,2
582,584,2
583,884,1
584,1130,1
585,493,2
586,580,1
587,1229,1
588,635,1
589,530,3
590,684,2
591,629,2
592,1308,1
593,887,2
594,376,3
595,600,3
596,975,1
597,601,2
598,8598,1
599,2145,5
600,345,8
601,1202,5
602,791,6
603,912,4
604,333,4
605,323,4
606,849,2
607,769,1
608,504,3
609,554,2
610,908,1
611,469,9
612,1608,1
613,446,3
614,1190,1
615,462,4
616,320,3
617,310,10
618,624,1
619,572,1
620,1163,1
621,464,2
622,335,5
623,1840,1
624,694,1
625,728,1
626,585,2
627,531,1
628,0,1
629,806,1
630,421,2
631,660,1
632,716,1
633,378,6
634,520,5
635,511,3
636,835,4
637,609,2
638,535,2
639,503,3
640,879,3
641,820,1
642,827,1
643,521,3
644,738,1
645,921,1
646,523,1
647,674,1
648,555,2
649,777,1
650,273,4
651,1055,1
652,664,3
653,645,1
654,665,2
655,491,3
656,425,3
657,942,1
658,1812,1
659,771,1
660,1142,1
661,409,1
662,458,2
663,1327,1
664,4825,1
665,419,4
666,1510,1
667,525,5
668,682,2
669,605,1
670,579,1
671,404,3
672,677,1
673,331,1
674,971,1
675,332,10
676,1286,1
677,1328,1
678,463,2
679,808,1
680,681,1
681,969,1
682,440,2
683,596,1
684,453,4
685,363,3
686,960,1
687,650,1
688,722,2
689,773,1
690,783,1
691,717,1
692,929,1
693,465,3
694,1341,1
695,947,2
696,515,4
697,544,1
698,976,1
699,787,1
700,1413,1
701,534,1
702,414,2
703,422,4
704,687,2
705,460,2
706,1794,1
707,792,1
708,586,1
709,869,1
710,821,1
711,640,1
712,1166,1
713,906,1
714,1755,1
715,598,1
716,1196,1
717,423,2
718,1527,1
719,444,1
720,815,2
721,551,1
722,396,3
723,873,1
724,435,2
725,1553,1
726,1475,1
727,845,1
728,373,2
729,545,2
730,1884,1
731,456,3
732,950,1
733,663,2
734,429,1
735,891,1
736,1211,1
737,577,1
738,1206,1
739,1314,1
740,723,2
741,417,1
742,339,2
743,374,1
744,1568,1
745,1230,1
746,380,1
747,613,1
748,805,1
749,576,1
750,893,2
751,424,2
752,653,2
753,538,2
754,416,2
755,1267,1
756,804,1
757,708,1
758,461,3
759,736,1
760,709,1
761,702,1
762,548,2
763,919,1
764,1208,1
765,623,2
766,994,1
767,905,1
768,2178,1
769,606,4
770,628,2
771,1014,1
772,932,1
773,1367,1
774,602,2
775,639,1
776,843,2
777,1048,1
778,448,2
779,636,1
780,657,1
781,625,2
782,844,1
783,704,2
784,981,1
785,454,1
786,5451,1
787,1668,1
788,3442,1
789,1566,1
790,631,1
791,1247,1
792,604,1
793,354,4
794,667,1
795,2261,1
796,5056,1
797,3636,1
798,1251,1
799,901,1
800,958,1
801,854,1
802,633,2
803,666,2
804,647,1
805,897,1
806,592,2
807,514,1
808,1097,1
809,778,1
810,671,1
811,571,1
812,632,1
813,941,1
814,1999,1
815,824,2
816,1015,1
817,1878,1
818,643,1
819,568,1
820,770,1
821,644,1
822,2773,1
823,1599,1
824,864,1
825,428,2
826,675,1
827,711,1
828,615,1
829,542,1
830,2328,1
831,974,1
832,1409,1
833,699,1
834,754,1
835,706,1
836,990,1
837,557,1
838,899,1
839,583,1
840,2020,1
841,964,1
842,1125,1
843,1007,1
844,1219,1
845,1865,1
846,915,1
847,475,1
848,886,1
849,903,1
850,853,1
851,532,1
852,701,1
853,634,1
854,775,1
855,786,1
