,Language,Number of Books
0,english,167719
1,arabic,585
2,russian,371
3,german,2683
4,japanese,899
5,spanish,4560
6,catalan,57
7,swedish,288
8,unknown,509
9,middle dutch,3
10,french,6654
11,indonesian,131
12,polish,408
13,bengali,37
14,sanskrit,8
15,portuguese,759
16,ancient greek,41
17,italian,1730
18,thai,9
19,mandarin chinese,11
20,achinese,9
21,alsatian,5
22,romanian,89
23,finnish,58
24,dutch,466
25,middle english,4
26,simplified chinese,1
27,portuguese brazilian,597
28,greek,92
29,albanian,8
30,abkhazian,7
31,latin,47
32,yiddish,1
33,norwegian,55
34,turkish,690
35,chinese,103
36,korean,45
37,hindi,43
38,danish,56
39,welsh,37
40,urdu,19
41,afrikaans,16
42,multilingual,5
43,old french,5
44,hebrew,9
45,icelandic,14
46,czech,18
47,middle french,1
48,indo-european,1
49,hungarian,13
50,castilian,45
51,serbian,163
52,latin spanish,1
53,vietnamese,18
54,acoli,7
55,farsi,42
56,persian,48
57,kazakh,1
58,bulgarian,72
59,croatian,22
60,tagalog,13
61,malayalam,27
62,filipino,6
63,tamil,5
64,marathi,20
65,irish,3
66,finno-ugrian,1
67,french canadian,1
68,lithuanian,4
69,taiwanese chinese,4
70,old norse,1
71,asturian,1
72,none,1
73,scots,2
74,pali,1
75,ukrainian,2
76,breton,5
77,swiss german,1
78,corsican,1
79,macedonian,2
80,serbo-croatian,6
81,tibetan,1
82,armenian,2
83,gujarati,11
84,slovene,1
85,slovak,1
86,romansh,1
87,old english,3
88,bokmål norwegian,2
89,amharic,1
90,esperanto,1
91,fulah,1
92,malay,6
93,akkadian,3
94,aramaic,1
95,scots gaelic,1
96,galician,2
97,basque,1
98,mongolian,2
99,nepali,1
100,estonian,1
101,kurdish,1
102,latvian,1
103,romance,1
104,egyptian,1
